rule_id,rule_name,status,confidence,evidence,recommended_corrections,top_score,num_retrieved
RULE_001,Identification of Parties,Not Applicable,0.4,Parties @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:4261 || Each Party @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:1801 || other than the Parties @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:3110 || other Party @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:5,,0.7426873445510864,6
RULE_002,Agreement Date,Compliant,0.95,"IN WITNESS WHEREOF, the Parties hereto have caused this Agreement to be signed as of the date and year first above written. @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:2:40",,0.76808100938797,6
RULE_003,Effective Date,Compliant,0.95,This Agreement shall become effective on the Effective Date @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:5,,0.9038441181182861,6
RULE_004,Expiration / Term,Compliant,0.851,Term. This Agreement shall become effective on the Effective Date and shall continue in effect until either Party informs the other Party with thirty (30) day prior written notice of termination of this Agreement. @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:632,,0.7001557946205139,6
RULE_005,Renewal Terms,Compliant,0.8,This Agreement shall become effective on the Effective Date and shall continue in effect until either Party informs the other Party with thirty (30) day prior written notice of termination of this Agreement. @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:5,,1.0302305221557617,6
RULE_006,Notice to Terminate Renewal,Compliant,0.9,This Agreement shall become effective on the Effective Date and shall continue in effect until either Party informs the other Party with thirty (30) day prior written notice of termination of this Agreement. @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:5,,0.8425155878067017,6
RULE_007,Governing Law and Jurisdiction,Non-Compliant,0.1,no evidence @ no evidence,Include a clause specifying the governing law for the contract. || Include a clause specifying the jurisdiction or forum for resolving disputes related to the contract. || Ensure both parties agree to the selected governing law and jurisdiction.,0.906683087348938,6
RULE_008,Termination for Convenience,Compliant,0.95,Term. This Agreement  shall become  effective on the Effective Date      and shall  continue in effect until  either  Party  informs the other Party      with thirty (30) day prior written notice of termination of this Agreement. @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:5 || with thirty (30) day prior written notice of termination of this Agreement. @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:632,,0.7233352661132812,6
RULE_009,Anti-Assignment / Assignment Restrictions,Not Applicable,0.05,no evidence @ no evidence,,0.8176064491271973,6
RULE_010,Liability Cap / Limitation of Liability,Not Applicable,0.7,"In no event shall either Party be liable for the debts or obligations of the other, except as otherwise specifically provided in this Agreement. @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:4850 || The Parties hereby covenant and agree to indemnify and hold harmless each other, it's agents and representatives from and against any and all losses, costs, expenses, liabilities, claims, demands, judgments and its settlements of every nature that are actually incurred by a Party, including without limitation reasonable attorney's fees for pre-trial, trial, appellate, judgment, post-judgment, execution, and alternative dispute resolution, which @ UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf:1:1801",,0.9369440078735352,6
